Date,Open,High,Low,Close,Volume
12-05-2022,2952.71,2980.48,2860.15,2915.68,162727200
13-05-2022,2915.68,2924.94,2869.4,2887.91,165507800
17-05-2022,2887.91,2961.96,2887.91,2906.43,149548800
18-05-2022,2952.71,2971.22,2887.91,2924.94,162519200
19-05-2022,2887.91,2934.19,2869.4,2924.94,127740400
20-05-2022,2943.45,2980.48,2943.45,2961.96,106866400
23-05-2022,2980.48,2989.73,2887.91,2915.68,144005200
24-05-2022,2943.45,2980.48,2924.94,2934.2,134555000
25-05-2022,2924.94,2980.48,2897.17,2906.43,132635400
27-05-2022,2961.96,3008.24,2943.45,2998.99,155078600
30-05-2022,3036.01,3036.01,2961.96,3036.01,117617200
31-05-2022,3063.78,3147.09,3045.27,3147.09,262054000
02-06-2022,3082.29,3091.55,2980.48,3036.01,203021800
03-06-2022,3063.78,3073.04,3036.01,3036.01,147960000
06-06-2022,3036.01,3091.55,2971.22,3017.5,148785000
07-06-2022,3036.01,3091.55,3017.5,3073.04,132673800
08-06-2022,3045.27,3119.32,3017.5,3110.06,153409200
09-06-2022,3110.06,3147.09,3091.55,3119.32,216804400
10-06-2022,3063.78,3082.29,3017.5,3026.76,165119600
13-06-2022,2961.96,2998.99,2943.45,2998.99,122467200
14-06-2022,2961.96,3036.01,2961.96,3036.01,100136600
15-06-2022,3008.24,3082.29,3008.24,3073.04,142400800
16-06-2022,3147.09,3147.09,3073.04,3100.81,186692600
17-06-2022,3026.76,3054.52,2989.73,2989.73,156836200
20-06-2022,2998.99,3054.53,2980.48,3054.53,74978200
21-06-2022,3073.04,3091.55,3036.01,3054.53,62996600
22-06-2022,3036.01,3063.78,3008.24,3017.5,88306600
23-06-2022,3017.5,3045.27,2998.99,3017.5,48817400
24-06-2022,3036.01,3073.04,3017.5,3073.04,60638400
27-06-2022,3110.06,3110.06,2989.73,3045.27,76574400
28-06-2022,3017.5,3036.01,2961.96,3008.24,110131200
29-06-2022,2998.99,3008.24,2943.45,2943.45,113216400
30-06-2022,2961.96,2998.99,2924.94,2934.2,125507600
01-07-2022,2915.68,2934.2,2804.61,2813.87,191672200
04-07-2022,2804.61,2841.63,2693.54,2739.82,246417000
05-07-2022,2758.33,2860.15,2758.33,2832.38,90919800
06-07-2022,2832.38,2832.38,2721.3,2786.1,180812800
07-07-2022,2776.84,2795.35,2749.07,2749.07,120444800
08-07-2022,2795.35,2795.35,2739.82,2767.58,57156600
11-07-2022,2767.58,2786.1,2739.82,2767.58,22860800
12-07-2022,2767.58,2767.58,2730.56,2749.07,51524400
13-07-2022,2739.82,2749.07,2693.54,2693.54,142494200
14-07-2022,2684.28,2730.56,2665.77,2693.54,158438200
15-07-2022,2702.79,2739.82,2656.51,2656.51,191949400
18-07-2022,2675.02,2721.3,2675.02,2721.3,152078400
19-07-2022,2721.3,2758.33,2693.54,2749.07,128963600
20-07-2022,2795.35,2943.45,2795.35,2924.94,215712600
21-07-2022,2961.96,2961.96,2860.15,2924.94,125699200
